site,comp,rep,clone,core,age,rwidth,dens,year,mfa,moe,new.age
Golden Downs,63,1,125,x,1,5.475,454,2002,33.1,3.6,2
Golden Downs,63,1,125,x,2,15.15,427,2003,39.8,2.8,3
Golden Downs,63,1,125,x,3,17.775,441,2004,41.9,2.5,4
Golden Downs,63,1,125,x,4,15.175,444,2005,32.3,3.2,5
Golden Downs,63,1,125,x,5,13.7,489,2006,30.4,4.5,6
Golden Downs,63,1,125,x,6,11.225,466,2007,30.1,4.6,7
Golden Downs,63,1,125,x,7,8.95,503,2008,28.8,6.1,8
Golden Downs,63,1,125,x,8,8.275,479,2009,25.7,6.6,9
Golden Downs,63,1,125,x,9,10.925,564,2010,24.5,8.5,10
Golden Downs,63,1,125,x,10,9.275,532,2011,22.9,8.9,11
Golden Downs,63,1,125,a,1,3.675,438,2002,33.6,3.6,2
Golden Downs,63,1,125,a,2,14.5,421,2003,37.8,3,3
Golden Downs,63,1,125,a,3,16.325,431,2004,33.1,3.6,4
Golden Downs,63,1,125,a,4,13.575,427,2005,34.1,3.8,5
Golden Downs,63,1,125,a,5,11.375,467,2006,31.6,4.5,6
Golden Downs,63,1,125,a,6,7.925,427,2007,28.6,4.8,7
Golden Downs,63,1,125,a,7,5.775,506,2008,23.5,8.4,8
Golden Downs,63,1,125,a,8,6.125,459,2009,20.9,8.4,9
Golden Downs,63,1,125,a,9,6.5,513,2010,19.5,10.1,10
Golden Downs,63,1,125,a,10,5.475,502,2011,18.1,11.1,11
Golden Downs,63,1,126,x,1,12.6,407,2003,31.6,3.4,3
Golden Downs,63,1,126,x,2,13.85,406,2004,35.1,3.7,4
Golden Downs,63,1,126,x,3,13.15,398,2005,32.1,3.8,5
Golden Downs,63,1,126,x,4,12.8,473,2006,28.6,5.5,6
Golden Downs,63,1,126,x,5,11.125,431,2007,28.3,5.3,7
Golden Downs,63,1,126,x,6,8.825,506,2008,27.3,6.2,8
Golden Downs,63,1,126,x,7,7.85,466,2009,24.5,7.1,9
Golden Downs,63,1,126,x,8,7.95,517,2010,21.4,9.1,10
Golden Downs,63,1,126,x,9,7.75,513,2011,21,9.3,11
Golden Downs,63,1,126,a,1,13.4,415,2003,36.5,3.4,3
Golden Downs,63,1,126,a,2,13.925,409,2004,36,3.6,4
Golden Downs,63,1,126,a,3,15,442,2005,30,4.5,5
Golden Downs,63,1,126,a,4,11.975,521,2006,28,6.7,6
Golden Downs,63,1,126,a,5,10.725,467,2007,26.3,6.5,7
Golden Downs,63,1,126,a,6,7.625,521,2008,24,8.3,8
Golden Downs,63,1,126,a,7,6.65,451,2009,22.1,7.9,9
Golden Downs,63,1,126,a,8,6.025,508,2010,19.2,10,10
Golden Downs,63,1,126,a,9,6.25,508,2011,17.8,10.7,11
Golden Downs,63,1,158,x,1,2.5,449,2002,36.2,3,2
Golden Downs,63,1,158,x,2,20.6,421,2003,37.6,2.9,3
Golden Downs,63,1,158,x,3,19.075,432,2004,27.1,5.3,4
Golden Downs,63,1,158,x,4,16,433,2005,26.2,5.7,5
Golden Downs,63,1,158,x,5,14.5,472,2006,23,7.7,6
Golden Downs,63,1,158,x,6,10.3,434,2007,19.2,8.2,7
Golden Downs,63,1,158,x,7,7.7,513,2008,14,12.5,8
